web-scraper-order,web-scraper-start-url,link,link-href,stars,stars-href
"1623600169-3665","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/1509/jewelry-accessories.html?trafficChannel=main&ca‌","https://www.aliexpress.com/category/1509/jewelry-accessories.html?trafficChannel=main&catName=jewelry-accessories&CatId=1509&ltype=wholesale&SortType=default&page=4&isrefine=y","4.4","https://www.aliexpress.com/item/1005002086478266.html?aem_p4p_detail=202106130902098399425168626280011660699#feedback"
"1623599445-2697","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/6/home-appliances.html?trafficChannel=main&catNam‌","https://www.aliexpress.com/category/6/home-appliances.html?trafficChannel=main&catName=home-appliances&CatId=6&ltype=wholesale&SortType=default&page=2&isrefine=y","4.7","https://www.aliexpress.com/item/32999650442.html?algo_pvid=43f3b8f2-b96a-4820-86e9-ba92ce59d88c&algo_exp_id=43f3b8f2-b96a-4820-86e9-ba92ce59d88c-10#feedback"
"1623598397-1431","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/18/sports-entertainment.html?trafficChannel=main&cat‌","https://www.aliexpress.com/category/18/sports-entertainment.html?trafficChannel=main&catName=sports-entertainment&CatId=18&ltype=wholesale&SortType=default&page=3&isrefine=y","4.6","https://www.aliexpress.com/item/4001197643289.html?algo_pvid=e1a5c8b6-0762-4f15-8830-ce781ff1c160&algo_exp_id=e1a5c8b6-0762-4f15-8830-ce781ff1c160-14#feedback"
"1623599208-2383","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/1524/luggage-bags.html?trafficChannel=main&catNam‌","https://www.aliexpress.com/category/1524/luggage-bags.html?trafficChannel=main&catName=luggage-bags&CatId=1524&ltype=wholesale&SortType=default&page=3&isrefine=y","4.8","https://www.aliexpress.com/item/4000389873148.html?algo_pvid=70dd4700-7bcb-4a66-9311-0790f67f6504&algo_exp_id=70dd4700-7bcb-4a66-9311-0790f67f6504-14#feedback"
"1623600682-4347","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/30/security-protection.html?trafficChannel=main&catNa‌","https://www.aliexpress.com/category/30/security-protection.html?trafficChannel=main&catName=security-protection&CatId=30&ltype=wholesale&SortType=default&page=1&isrefine=y","4.7","https://www.aliexpress.com/item/4000777207624.html?aem_p4p_detail=202106130910422720284394634690011701063#feedback"
"1623598317-1347","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/18/sports-entertainment.html?trafficChannel=main&cat‌","https://www.aliexpress.com/category/18/sports-entertainment.html?trafficChannel=main&catName=sports-entertainment&CatId=18&ltype=wholesale&SortType=default&page=5&isrefine=y","4.8","https://www.aliexpress.com/item/1005002552428376.html?aem_p4p_detail=20210613083114504612404838090011522581#feedback"
"1623598190-1161","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/66/beauty-health.html?trafficChannel=main&catName=‌","https://www.aliexpress.com/category/66/beauty-health.html?trafficChannel=main&catName=beauty-health&CatId=66&ltype=wholesale&SortType=default&page=3&isrefine=y","4.9","https://www.aliexpress.com/item/1000004778526.html?algo_pvid=5c0d60f9-a58b-4e53-b3ab-ab9a40bfee28&algo_exp_id=5c0d60f9-a58b-4e53-b3ab-ab9a40bfee28-12#feedback"
"1623599647-2970","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/100006206/pet-products.html?trafficChannel=main&cat‌","https://www.aliexpress.com/category/100006206/pet-products.html?trafficChannel=main&catName=pet-products&CatId=100006206&ltype=wholesale&SortType=default&page=2&isrefine=y","4.7","https://www.aliexpress.com/item/1005002468973101.html?algo_pvid=00beaa87-153f-4aa6-9a64-ffdbf6618966&algo_exp_id=00beaa87-153f-4aa6-9a64-ffdbf6618966-14#feedback"
"1623601559-5367","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/100003109/women-clothing.html?trafficChannel=main&‌","https://www.aliexpress.com/category/100003109/women-clothing.html?trafficChannel=main&catName=women-clothing&CatId=100003109&ltype=wholesale&SortType=default&page=3&isrefine=y","4.6","https://www.aliexpress.com/item/1005001620880294.html?aem_p4p_detail=202106130925204929830838648660011776235#feedback"
"1623599484-2770","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/6/home-appliances.html?trafficChannel=main&catNam‌","https://www.aliexpress.com/category/6/home-appliances.html?trafficChannel=main&catName=home-appliances&CatId=6&ltype=wholesale&SortType=default&page=1&isrefine=y","4.7","https://www.aliexpress.com/item/4000393689367.html?aem_p4p_detail=202106130850452379288112424190012772938#feedback"
"1623599726-3074","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/15/home-garden.html?trafficChannel=main&catName=‌","https://www.aliexpress.com/category/15/home-garden.html?trafficChannel=main&catName=home-garden&CatId=15&ltype=wholesale&SortType=default&page=5&isrefine=y","4.9","https://www.aliexpress.com/item/1005001645553151.html?algo_pvid=57533af8-6f28-4930-ad72-6193967ccc28&algo_exp_id=57533af8-6f28-4930-ad72-6193967ccc28-5#feedback"
"1623599168-2347","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/1524/luggage-bags.html?trafficChannel=main&catNam‌","https://www.aliexpress.com/category/1524/luggage-bags.html?trafficChannel=main&catName=luggage-bags&CatId=1524&ltype=wholesale&SortType=default&page=4&isrefine=y","4.9","https://www.aliexpress.com/item/1005001734803079.html?algo_pvid=3b3150b7-5747-49e3-8884-8a862b8f12f3&algo_exp_id=3b3150b7-5747-49e3-8884-8a862b8f12f3-27#feedback"
"1623599765-3164","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/15/home-garden.html?trafficChannel=main&catName=‌","https://www.aliexpress.com/category/15/home-garden.html?trafficChannel=main&catName=home-garden&CatId=15&ltype=wholesale&SortType=default&page=4&isrefine=y","4.8","https://www.aliexpress.com/item/1005002001796097.html?algo_pvid=43135b5e-876d-4c08-a297-9dec7b810357&algo_exp_id=43135b5e-876d-4c08-a297-9dec7b810357-45#feedback"
"1623600997-4782","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/7/computer-office.html?trafficChannel=main&catName=‌","https://www.aliexpress.com/category/7/computer-office.html?trafficChannel=main&catName=computer-office&CatId=7&ltype=wholesale&SortType=default&page=2&isrefine=y","4.8","https://www.aliexpress.com/item/32944944387.html?algo_pvid=3fc2a55b-3a8e-49d0-999d-b098eb8b6eeb&algo_exp_id=3fc2a55b-3a8e-49d0-999d-b098eb8b6eeb-24#feedback"
"1623597746-553","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/34/automobiles-motorcycles.html?trafficChannel=main‌","https://www.aliexpress.com/category/34/automobiles-motorcycles.html?trafficChannel=main&catName=automobiles-motorcycles&CatId=34&ltype=wholesale&SortType=default&page=4&isrefine=y","4.8","https://www.aliexpress.com/item/1005002323801665.html?aem_p4p_detail=2021061308214755228884441150012633504#feedback"
"1623597706-543","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/34/automobiles-motorcycles.html?trafficChannel=main‌","https://www.aliexpress.com/category/34/automobiles-motorcycles.html?trafficChannel=main&catName=automobiles-motorcycles&CatId=34&ltype=wholesale&SortType=default&page=5&isrefine=y","5","https://www.aliexpress.com/item/1005001865074099.html?algo_pvid=7b166e81-3e1d-4d58-9d82-92c43bcf85f3&algo_exp_id=7b166e81-3e1d-4d58-9d82-92c43bcf85f3-47#feedback"
"1623599085-2256","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/322/shoes.html?trafficChannel=main&catName=shoes‌","https://www.aliexpress.com/category/322/shoes.html?trafficChannel=main&catName=shoes&CatId=322&ltype=wholesale&SortType=default&page=1&isrefine=y","4.7","https://www.aliexpress.com/item/4000414520743.html?algo_pvid=97b22aa4-8d3b-4dfe-aa7a-d22f47649a9d&algo_exp_id=97b22aa4-8d3b-4dfe-aa7a-d22f47649a9d-27#feedback"
"1623599805-3193","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/15/home-garden.html?trafficChannel=main&catName=‌","https://www.aliexpress.com/category/15/home-garden.html?trafficChannel=main&catName=home-garden&CatId=15&ltype=wholesale&SortType=default&page=3&isrefine=y","4.8","https://www.aliexpress.com/item/32929349811.html?algo_pvid=eeca7cda-c0b1-4b86-a73d-eebe30188a99&algo_exp_id=eeca7cda-c0b1-4b86-a73d-eebe30188a99-22#feedback"
"1623601441-5310","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/100003070/men-clothing.html?trafficChannel=main&ca‌","https://www.aliexpress.com/category/100003070/men-clothing.html?trafficChannel=main&catName=men-clothing&CatId=100003070&ltype=wholesale&SortType=default&page=1&isrefine=y","4.8","https://www.aliexpress.com/item/1005002311478946.html?algo_pvid=9b81c994-c7dc-49e1-b39d-ed38bc31a0fa&algo_exp_id=9b81c994-c7dc-49e1-b39d-ed38bc31a0fa-44#feedback"
"1623598642-1768","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/1501/mother-kids.html?trafficChannel=main&catName‌","https://www.aliexpress.com/category/1501/mother-kids.html?trafficChannel=main&catName=mother-kids&CatId=1501&ltype=wholesale&SortType=default&page=2&isrefine=y","4.8","https://www.aliexpress.com/item/1005001420553028.html?algo_pvid=cf140af2-c8ea-4cdc-929a-8df48c8e6130&algo_exp_id=cf140af2-c8ea-4cdc-929a-8df48c8e6130-31#feedback"
"1623598563-1646","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/1501/mother-kids.html?trafficChannel=main&catName‌","https://www.aliexpress.com/category/1501/mother-kids.html?trafficChannel=main&catName=mother-kids&CatId=1501&ltype=wholesale&SortType=default&page=4&isrefine=y","4.6","https://www.aliexpress.com/item/1005002147655518.html?algo_pvid=cb56160b-6ba2-4194-88e7-d174159267d5&algo_exp_id=cb56160b-6ba2-4194-88e7-d174159267d5-21#feedback"
"1623601601-5405","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/100003109/women-clothing.html?trafficChannel=main&‌","https://www.aliexpress.com/category/100003109/women-clothing.html?trafficChannel=main&catName=women-clothing&CatId=100003109&ltype=wholesale&SortType=default&page=2&isrefine=y","4.8","https://www.aliexpress.com/item/1005002364490441.html?algo_pvid=8ec28e58-203d-4c3f-b0d7-f48417cc5f66&algo_exp_id=8ec28e58-203d-4c3f-b0d7-f48417cc5f66-15#feedback"
